id,fund_manager,fund,fund_all_names,e_vote,s_vote,g_vote,e_support,s_support,g_support,fund_is_esg,sum_votes
320,2,State Street International Stock Selection Fund,"['SSgA International Stock Selection Fund', 'SSGA International Stock Selection Fund', 'State Street International Stock Selection Fund']",8,8,19,2.857142857,0,8.571428571,0,35
405,1,Vanguard Tax-Managed Small-Cap Fund,['Vanguard Tax-Managed Small-Cap Fund'],4,5,26,2.857142857,2.857142857,34.28571429,0,35
321,2,SSGA Clarion Real Estate Fund,"['SSgA Tuckerman Active REIT Fund', 'SSgA Clarion Real Estate Fund', 'SSGA Clarion Real Estate Fund']",6,0,29,7.142857143,0,34.28571429,0,35
6,1,Vanguard Russell 2000 Index Fund,['Vanguard Russell 2000 Index Fund'],6,2,28,4.166666667,2.777777778,25,0,36
359,0,BlackRock Multi-Manager Alternative Strategies Fund,"['BlackRock Multi-Manager Alternatives Fund', 'BlackRock Multi-Manager Alternative Strategies Fund']",4,12,21,0,0,16.21621622,0,37
342,0,BLACKROCK INTERNATIONAL DIVIDEND FUND,"['INTERNATIONAL OPPORTUNITIES EQUITY PORTFOLIO', 'INTERNATIONAL OPPORTUNITIES PORTFOLIO', 'BLACKROCK INTERNATIONAL OPPORTUNITIES PORTFOLIO', 'BLACKROCK INTERNATIONAL DIVIDEND FUND']",5,8,24,2.702702703,0,18.91891892,0,37
68,2,SPDR(R) S&P(R) Oil & Gas Equipment & Services ETF,['SPDR(R) S&P(R) Oil & Gas Equipment & Services ETF'],4,9,24,9.459459459,13.51351351,28.37837838,0,37
250,2,SPDR MFS Systematic Growth Equity ETF,['SPDR MFS Systematic Growth Equity ETF'],2,15,21,5.263157895,28.94736842,28.94736842,0,38
398,1,Vanguard S&P Mid-Cap 400 Growth Index Fund,['Vanguard S&P Mid-Cap 400 Growth Index Fund'],7,5,26,5.263157895,3.947368421,21.05263158,0,38
63,2,SPDR(R) S&P Mortgage Finance(SM) ETF,"['SPDR(R) KBW Mortgage Finance(SM) ETF', 'SPDR(R) S&P Mortgage Finance(SM) ETF']",10,7,22,12.82051282,2.564102564,20.51282051,0,39
179,2,SPDR(R) S&P(R) International Industrial Sector ETF,['SPDR(R) S&P(R) International Industrial Sector ETF'],8,8,24,1.25,0,7.5,0,40
223,0,BLACKROCK BOND PORTFOLIO,['BLACKROCK BOND PORTFOLIO'],3,12,25,0,5,22.5,0,40
295,0,"BLACKROCK HEALTHCARE FUND, INC.","['BLACKROCK HEALTHCARE FUND, INC.']",5,13,23,0,0,24.3902439,0,41
88,2,SPDR S&P Internet ETF,['SPDR S&P Internet ETF'],3,15,24,3.571428571,9.523809524,41.66666667,0,42
296,1,Vanguard Energy Fund,['Vanguard Energy Fund'],14,18,11,13.95348837,18.60465116,6.976744186,0,43
265,1,Vanguard International Value Fund,['Vanguard International Value Fund'],13,7,23,5.813953488,1.162790698,5.813953488,0,43
106,0,iShares JPX-Nikkei 400 ETF,"['iShares S&P/TOPIX 150 Index Fund', 'iShares Japan Large-Cap ETF', 'iShares JPX-Nikkei 400 ETF']",5,10,28,0,0,6.976744186,0,43
194,2,SPDR MSCI EAFE StrategicFactors ETF,"['SPDR MSCI EAFE Quality Mix ETF', 'SPDR MSCI EAFE StrategicFactors ETF']",24,9,11,10.22727273,1.136363636,2.272727273,0,44
360,0,BlackRock Macro Themes Fund,['BlackRock Macro Themes Fund'],11,24,10,2.222222222,0,4.444444444,0,45
251,2,SPDR MFS Systematic Value Equity ETF,['SPDR MFS Systematic Value Equity ETF'],1,19,25,0,37.77777778,20,0,45
201,2,SPDR Solactive Canada ETF,"['SPDR MSCI Canada Quality Mix ETF', 'SPDR MSCI Canada StrategicFactors ETF', 'SPDR Solactive Canada ETF']",3,11,31,0,2.222222222,2.222222222,0,45
249,2,SPDR MFS Systematic Core Equity ETF,['SPDR MFS Systematic Core Equity ETF'],3,19,27,4.081632653,32.65306122,26.53061224,0,49
21,0,BlackRock Master SmallCap Growth Portfolio,['BlackRock Master SmallCap Growth Portfolio'],10,10,29,0,0,55.10204082,0,49
